timestamp,level,service,message,response_time_ms,status_code,is_anomaly
2026-04-21 17:31:56.732407,INFO,notification-service,Database query executed in 499ms,499,200,False
2026-04-21 17:36:56.732407,INFO,notification-service,Connection timeout after 7121ms,7121,500,True
2026-04-21 17:49:29.732407,INFO,inventory-service,Cache hit for key,640,200,False
2026-04-21 17:49:37.732407,INFO,auth-service,User authenticated,328,200,False
2026-04-21 17:52:03.732407,INFO,notification-service,Cache hit for key,505,200,False
2026-04-21 17:55:57.732407,INFO,api-gateway,Session created for user,357,200,False
2026-04-21 17:56:47.732407,INFO,inventory-service,Order status updated,94,201,False
2026-04-21 17:59:57.732407,INFO,inventory-service,Order status updated,592,200,False
2026-04-21 18:00:48.732407,INFO,notification-service,Session created for user,494,200,False
2026-04-21 18:12:56.732407,ERROR,notification-service,Order status updated,226,200,False
2026-04-21 18:31:15.732407,ERROR,notification-service,Health check passed,301,200,False
2026-04-21 18:36:17.732407,INFO,api-gateway,Cache hit for key,516,200,False
2026-04-21 18:39:29.732407,INFO,inventory-service,Memory usage exceeded threshold,1607,503,True
2026-04-21 18:43:39.732407,ERROR,notification-service,Order status updated,674,200,False
2026-04-21 18:45:43.732407,INFO,inventory-service,Health check passed,516,200,False
2026-04-21 18:48:51.732407,INFO,auth-service,Cache hit for key,792,200,False
2026-04-21 18:56:01.732407,WARNING,api-gateway,Cache hit for key,192,200,False
2026-04-21 18:56:02.732407,INFO,payment-service,Order status updated,612,200,False
2026-04-21 19:02:25.732407,INFO,inventory-service,Health check passed,470,200,False
2026-04-21 19:03:29.732407,ERROR,notification-service,Order status updated,228,200,False
2026-04-21 19:03:59.732407,INFO,notification-service,Cache hit for key,642,200,False
2026-04-21 19:06:14.732407,INFO,notification-service,Request processed successfully,580,201,False
2026-04-21 19:06:54.732407,INFO,payment-service,Order status updated,555,503,False
2026-04-21 19:07:58.732407,INFO,notification-service,User authenticated,784,200,False
2026-04-21 19:21:36.732407,INFO,notification-service,Order status updated,437,200,False
2026-04-21 19:22:12.732407,WARNING,auth-service,Session created for user,459,200,False
2026-04-21 19:26:07.732407,ERROR,api-gateway,Health check passed,559,200,False
2026-04-21 19:33:48.732407,INFO,auth-service,Health check passed,339,200,False
2026-04-21 19:38:09.732407,INFO,api-gateway,Request processed successfully,76,200,False
2026-04-21 19:38:10.732407,INFO,notification-service,Request processed successfully,720,200,False
2026-04-21 19:52:34.732407,INFO,api-gateway,Database query executed in 567ms,567,200,False
2026-04-21 19:52:44.732407,ERROR,notification-service,Database connection pool exhausted,7560,503,True
2026-04-21 19:55:08.732407,ERROR,auth-service,Cache hit for key,84,200,False
