timestamp,ip_address,http_method,endpoint,status_code,bytes_sent,response_time_ms,user_agent,requests_per_minute,failed_auth_count,is_known_bad_ip,anomaly_type,label
2024-01-01 00:05:28,92.224.211.67,GET,/contact,304,1944,292,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,10,0,0,normal,0
2024-01-01 00:06:24,176.10.104.240,PUT,/about,200,69241,951,curl/7.68.0,173,12,1,network_intrusion,1
2024-01-01 00:15:42,93.65.53.100,GET,/contact,200,11174,391,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,2,0,0,normal,0
2024-01-01 00:20:12,140.33.248.184,GET,/api/v1/search,200,49704,124,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,12,0,0,normal,0
2024-01-01 00:20:47,236.31.29.186,GET,/dashboard,200,17849,266,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,2,0,0,normal,0
2024-01-01 00:27:03,155.118.241.16,GET,/docs,404,24232,459,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,8,0,0,normal,0
2024-01-01 00:34:46,202.90.92.155,PUT,/blog,200,21270,325,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,14,0,0,normal,0
2024-01-01 00:35:36,44.132.176.244,PUT,/,200,41901,462,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/605.1.15,12,0,0,normal,0
2024-01-01 00:38:56,190.241.71.173,GET,/robots.txt,404,3918,428,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,7,0,0,normal,0
2024-01-01 00:41:11,71.15.4.239,GET,/robots.txt,200,21362,401,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,10,0,0,normal,0
2024-01-01 00:41:57,77.66.99.176,POST,/static/js/app.js,304,4085,379,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,2,0,0,normal,0
2024-01-01 00:42:07,28.200.242.212,GET,/about,200,45329,242,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,12,0,0,normal,0
2024-01-01 00:44:00,38.50.223.139,GET,/blog,200,11779,408,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,9,0,0,normal,0
2024-01-01 00:47:45,220.159.216.85,POST,/login,301,5433,177,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/605.1.15,1,0,0,normal,0
2024-01-01 00:49:09,220.145.7.164,GET,/dashboard,200,44026,438,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,13,0,0,normal,0
2024-01-01 00:53:12,181.40.16.50,POST,/products,404,10202,182,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/605.1.15,5,0,0,normal,0
2024-01-01 00:53:41,117.253.247.144,POST,/etc/passwd,404,66638,180,Go-http-client/1.1,20,0,0,unusual_process_activity,1
2024-01-01 00:57:25,247.55.44.206,GET,/logout,304,4019,386,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0 Firefox/88.0,5,0,0,normal,0
2024-01-01 00:57:53,62.200.194.129,POST,/images/banner.png,200,1390,392,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0 Firefox/88.0,12,0,0,normal,0
2024-01-01 00:58:14,161.235.17.156,POST,/logout,200,46192,217,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,5,0,0,normal,0
2024-01-01 00:58:20,3.153.249.162,POST,/favicon.ico,200,47146,426,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,4,0,0,normal,0
2024-01-01 01:00:13,159.187.119.63,GET,/,200,12114,351,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,6,0,0,normal,0
2024-01-01 01:03:07,152.104.109.107,GET,/dashboard,301,46723,75,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,9,0,0,normal,0
2024-01-01 01:04:07,128.151.213.227,HEAD,/dashboard,301,14322,261,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0 Firefox/88.0,9,0,0,normal,0
2024-01-01 01:05:36,101.103.225.109,POST,/products,301,28449,59,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,6,0,0,normal,0
2024-01-01 01:06:18,72.16.143.64,GET,/index.html,301,39640,300,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/605.1.15,11,0,0,normal,0
2024-01-01 01:11:58,172.69.121.20,GET,/index.html,301,3949,273,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,10,0,0,normal,0
2024-01-01 01:26:48,208.116.168.243,DELETE,/products,200,34517,164,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,12,0,0,normal,0
2024-01-01 01:28:22,233.140.38.9,GET,/api/v1/search,200,13949,256,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,1,0,0,normal,0
2024-01-01 01:30:48,25.75.247.43,DELETE,/static/css/main.css,200,28588,332,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,12,0,0,normal,0
2024-01-01 01:35:37,77.247.181.162,PUT,/../../../etc/passwd,403,176768,224,sqlmap/1.7.2#stable (https://sqlmap.org),109,0,1,network_intrusion,1
2024-01-01 01:42:06,103.184.201.174,GET,/robots.txt,304,24581,462,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/605.1.15,4,0,0,normal,0
2024-01-01 01:49:31,81.45.65.62,GET,/favicon.ico,404,27346,391,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,8,0,0,normal,0
2024-01-01 01:50:40,213.252.129.211,POST,/static/css/main.css,404,17669,472,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,8,0,0,normal,0
2024-01-01 02:02:21,57.47.118.28,GET,/login,200,18172,77,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,10,0,0,normal,0
2024-01-01 02:08:37,223.87.26.157,POST,/products,404,47923,496,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,2,0,0,normal,0
2024-01-01 02:12:57,197.84.131.72,PUT,/contact,200,24632,236,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/605.1.15,8,0,0,normal,0
2024-01-01 02:16:17,226.190.115.212,POST,/index.html,200,40616,77,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/605.1.15,1,0,0,normal,0
2024-01-01 02:16:43,127.241.83.128,POST,/api/v1/users,200,5555,413,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0 Firefox/88.0,14,0,0,normal,0
2024-01-01 02:17:39,198.201.138.132,GET,/login,200,36190,238,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,6,0,0,normal,0
2024-01-01 02:25:20,32.213.15.228,POST,/index.html,200,49138,145,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,13,0,0,normal,0
2024-01-01 02:27:40,110.67.159.140,GET,/index.html,200,29138,336,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0 Firefox/88.0,14,0,0,normal,0
2024-01-01 02:32:26,223.251.113.135,GET,/favicon.ico,301,6878,440,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/605.1.15,11,0,0,normal,0
2024-01-01 02:34:03,44.106.71.180,GET,/docs,404,1928,446,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,3,0,0,normal,0
2024-01-01 02:35:39,137.243.237.121,GET,/products,200,25523,433,Mozilla/5.0 (iPhone; CPU iPhone OS 15_0 like Mac OS X) AppleWebKit/605.1.15,3,0,0,normal,0
2024-01-01 02:38:33,72.130.160.101,GET,/.env,200,28590,141,Go-http-client/1.1,33,4,0,unusual_process_activity,1
2024-01-01 02:41:13,47.86.234.89,GET,/logout,304,28643,295,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,6,0,0,normal,0
2024-01-01 02:41:48,174.154.170.199,POST,/static/css/main.css,200,7030,176,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36,7,0,0,normal,0
2024-01-01 02:41:56,42.178.165.169,GET,/index.html,502,6,5409,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,8,0,0,service_crash_error,1
2024-01-01 02:52:13,144.45.232.24,GET,/logout,200,32533,397,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,3,0,0,normal,0
2024-01-01 03:00:15,57.138.95.227,GET,/api/v1/users,304,4868,365,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36,9,0,0,normal,0
2024-01-01 03:06:49,194.165.16.11,POST,/api/v1/auth/login,403,254,94,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0 Firefox/88.0,281,75,1,auth_brute_force,1
2024-01-01 03:06:50,247.187.225.230,GET,/api/v1/orders,200,12876,26,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,10,0,0,normal,0
2024-01-01 03:09:52,21.78.95.53,GET,/docs,304,38493,234,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0 Firefox/88.0,4,0,0,normal,0
2024-01-01 03:10:05,203.234.165.244,POST,/static/css/main.css,500,85,24708,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36,8,0,0,service_crash_error,1
2024-01-01 03:12:13,21.41.177.76,GET,/login,304,3774,26,Mozilla/5.0 (Android 11; Mobile; rv:68.0) Gecko/68.0 Firefox/88.0,7,0,0,normal,0
2024-01-01 03:14:39,8.156.192.207,POST,/backup.zip,200,98599,15,curl/7.68.0,29,1,0,unusual_process_activity,1
